re,AppID,URL,Game Title,Release Date,AI Disclosure Type,Disclosure Clarity,Launch Base Price (USD),First Price Change Date,Price Adjustment Count,Current Base Price (USD),Price Tier,Dev Tier,Macro Genre,Is_Multiplayer,Is_Early_Access,Global Review Count,Global Rating %,Mean_Sentiment_Score,Reviews_Analyzed,Positive_Sentiment_Ratio,Theme_AI_Ratio,Theme_Scam_Ratio,Theme_Tech_Ratio,Is_AI_Cohort,Unnamed: 0
Game 1,4551040,https://store.steampowered.com/app/4551040/Animal_Company/,Animal Company,2026-05-21 00:00:00,1,2,19.99,0,0,19.99,2,1,1,2,1,690,80.92,0.260047,300,0.5766666666666667,0.0,0.0033333333333333,0.0166666666666666,1,
Game 2,2625420,https://store.steampowered.com/app/2625420/Drive_Beyond_Horizons/,Drive Beyond Horizons,2025-03-24 00:00:00,1,1,24.99,0,0,24.99,2,1,1,2,1,19882,76.48,0.410233,300,0.7266666666666667,0.0133333333333333,0.0133333333333333,0.21,1,
Game 3,3137520,https://store.steampowered.com/app/3137520/Gun_Factory_Simulator/,Gun Factory Simulator,2025-04-04 00:00:00,1,1,14.99,0,0,14.99,1,1,3,1,1,163,59.87,0.3135430379746835,79,0.6582278481012658,0.0126582278481012,0.0126582278481012,0.3164556962025316,1,
Game 4,3408110,https://store.steampowered.com/app/3408110/Cafemart_Simulator/,Cafemart Simulator,2025-02-25 00:00:00,1,1,7.99,0,0,7.99,1,1,3,2,1,687,70.09,0.455338829787234,188,0.7287234042553191,0.0106382978723404,0.0212765957446808,0.2393617021276596,1,
Game 5,3177970,https://store.steampowered.com/app/3177970/Bioweaver/,Bioweaver,2024-11-16 00:00:00,1,1,6.99,2025-05-27 00:00:00,4,6.99,1,1,1,1,0,691,74.22,0.4740939890710383,183,0.7759562841530054,0.0327868852459016,0.0109289617486338,0.0983606557377049,1,
Game 6,3279440,https://store.steampowered.com/app/3279440/Drone_Sector/,Drone Sector,2026-07-21 00:00:00,2,1,16.99,0,0,16.99,2,1,3,1,1,248,82.99,0.5210403314917127,181,0.7955801104972375,0.1049723756906077,0.0,0.0828729281767955,1,
Game 7,3569500,https://store.steampowered.com/app/3569500/Card_Shop_Simulator_Multiplayer/,Card Shop Simulator Multiplayer,2025-06-18 00:00:00,1,1,11.99,0,0,11.99,1,1,3,2,0,2153,80.69,0.5361103333333334,300,0.8,0.0833333333333333,0.03,0.1033333333333333,1,
Game 8,4768400,https://store.steampowered.com/app/4768400/Idle_Crown/,Idle Crown,2026-06-23 00:00:00,1,1,3.99,0,0,3.99,1,1,3,1,0,110,50.69,0.4208924528301886,53,0.7358490566037735,0.2075471698113207,0.0566037735849056,0.1320754716981132,1,
Game 9,3498390,https://store.steampowered.com/app/3498390/Astroloot/,Astroloot,2025-03-14 00:00:00,1,1,6.99,0,0,6.99,1,1,1,2,1,596,86.25,0.5830842342342343,222,0.8468468468468469,0.1756756756756756,0.0,0.0405405405405405,1,
Game 10,2576150,https://store.steampowered.com/app/2576150/LET_IT_DIE_INFERNO/,LET IT DIE: INFERNO,2025-12-04 00:00:00,1,1,24.99,0,0,24.99,2,2,1,2,0,776,51.67,0.0993713333333333,300,0.5233333333333333,0.1333333333333333,0.01,0.0866666666666666,1,
